State,Baseball Players,Basketball Players,Cross-Country Players,Football Players,Golf Players,Hockey Players,Soccer Players,Tennis Players,Track and Field Players,Wrestling Players
Alabama,"16,284","19,459","2,748","27,953","3,009",0,"10,286","1,957","13,124","5,585"
Alaska,590,"1,746","1,037","1,470",0,427,713,260,"1,226","1,392"
Arizona,"8,074","8,943","3,328","19,177","1,937",0,"8,959","2,102","10,673","6,048"
Arkansas,"6,126","6,364","2,389","12,162","1,775",0,"3,552","1,367","6,035","1,727"
California,"42,972","46,402","27,460","91,411","12,300",506,"56,884","17,639","58,457","26,457"
Colorado,"7,884","9,710","3,681","14,597","2,901","1,454","9,572","3,091","11,028","6,010"
Connecticut,"4,459","5,273","3,031","8,902","1,691","1,334","7,216","1,852","7,039","2,885"
Delaware,"1,348","1,549",902,"2,718",387,0,"2,043",422,"1,759","1,249"
Dist. of Columbia,540,"1,078",521,"1,186",126,71,830,227,823,228
Florida,"18,230","21,030","7,630","37,872","4,678",0,"20,926","4,973","20,669","9,273"
Georgia,"12,098","11,752","6,895","32,445","3,413",0,"12,643","4,273","16,619","9,336"
Hawaii,"1,680","1,837","1,101","3,982",471,0,"1,606",597,"2,171","1,447"
Idaho,"2,649","3,902","1,964","7,180","1,318",0,"2,579","1,246","5,737","3,066"
Illinois,"19,322","20,723","9,827","35,883","7,778",0,"20,318","5,929","25,444","13,670"
Indiana,"10,256","10,310","4,981","20,878","4,306",0,"9,878","4,766","15,162","7,628"
Iowa,"9,945","10,238","5,007","16,377","5,332",0,"6,757","2,152","12,608","6,744"
Kansas,"6,441","8,247","3,275","13,827","2,978",0,"4,656","2,427","10,868","5,323"
Kentucky,"7,315","6,709","2,880","13,391","2,411",0,"7,134","2,301","7,120","3,062"
Louisiana,"8,811","7,961",0,"20,696","1,405",0,"5,254","1,441","10,193","2,559"
Maine,"2,899","3,502","1,145","2,952","1,385",917,"3,863",770,"3,043",960
Maryland,"5,141","5,377","3,564","13,273","1,407",44,"7,368","1,994","8,265","5,176"
Massachusetts,"10,939","12,698","5,759","17,220","4,640","6,729","14,969","3,325","15,054","5,122"
Michigan,"16,044","20,536","8,205","33,427","7,333","3,092","14,063","6,133","24,759","10,917"
Minnesota,"12,390","14,181","6,368","22,018","6,242","5,077","11,480","4,234","16,939","7,778"
Mississippi,"7,290","11,010","2,650","28,236","1,100",0,"5,360","1,698","6,521",620
Missouri,"12,711","13,117","5,599","21,420","4,581",0,"8,877","3,325","17,371","7,953"
Montana,851,"3,410","1,187","3,560","1,179",0,975,725,"3,852","1,642"
Nebraska,"3,036","6,502","2,834","8,679","2,806",0,"3,013","1,213","8,405","4,876"
Nevada,"2,446","3,228","1,011","6,322",705,0,"2,700",899,"3,755","2,306"
New Hampshire,"2,173","2,472","1,008","3,129",939,918,"2,970",622,"2,579",889
New Jersey,"13,321","14,379","8,005","22,642","4,282","3,091","20,007","5,642","20,263","12,040"
New Mexico,"3,306","4,062","1,529","6,453",899,0,"2,541",716,"4,438","1,722"
New York,"16,358","20,430","7,533","25,874","6,403","2,439","20,041","7,152","21,388","11,321"
North Carolina,"10,385","11,491","6,027","28,761","3,247",0,"13,606","3,733","15,474","9,733"
North Dakota,"1,838","2,937",859,"3,145","1,439",683,801,475,"3,117","1,111"
Ohio,"21,733","20,672","9,520","39,439","8,486","1,680","17,302","5,777","29,286","12,945"
Oklahoma,"9,155","9,581","3,546","14,768","2,588",0,"4,811","1,641","8,560","5,709"
Oregon,"5,654","7,530","3,641","10,733","2,173",0,"7,397","2,226","11,018","5,525"
Pennsylvania,"20,672","21,690","12,000","27,700","5,130",0,"19,985","4,560","24,400","11,900"
Rhode Island,"1,583","2,235",753,"2,619",623,664,"1,982",591,"1,877","1,131"
South Carolina,"7,029","6,679","3,398","18,835","1,823",0,"7,211","1,447","10,271","6,882"
South Dakota,0,"3,418","1,036","3,512","1,382",0,866,429,"4,125","1,410"
Tennessee,"8,889","8,275","3,919","22,473","2,991",0,"9,190","2,554","8,941","5,129"
Texas,"53,923","62,977","27,892","174,126","15,438",0,"49,032","21,852","74,770","18,274"
Utah,"4,064","4,094","3,140","9,861","1,941",277,"4,418","2,101","6,944","3,905"
Vermont,597,697,271,545,154,193,989,25,580,80
Virginia,"8,816","9,312","5,383","22,970","3,067",0,"10,773","2,782","12,711","7,999"
Washington,"9,593","11,550","7,677","21,074","1,593",0,"12,917","6,086","17,777","9,907"
West Virginia,"2,661","2,660",910,"5,601","1,164",0,"2,178",558,"3,063","2,145"
Wisconsin,"12,077","15,016","5,957","23,772","6,257","2,657","10,398","3,993","15,890","8,151"
Wyoming,0,"1,753",582,"2,342",744,0,"1,019",367,"2,044","1,267"
